2025-03-16 22:07:47,289 - Fold 1/5
2025-03-16 22:12:59,102 - Epoch 21: Training Loss: 0.4188, Training Accuracy: 0.8652
2025-03-16 22:12:59,102 - Epoch 21: Validation Loss: 0.4687, Validation Accuracy: 0.8510
2025-03-16 22:13:20,522 - Epoch 22: Training Loss: 0.3919, Training Accuracy: 0.8712
2025-03-16 22:13:20,523 - Epoch 22: Validation Loss: 0.5016, Validation Accuracy: 0.8375
2025-03-16 22:13:44,174 - Epoch 23: Training Loss: 0.3958, Training Accuracy: 0.8718
2025-03-16 22:13:44,174 - Epoch 23: Validation Loss: 0.4703, Validation Accuracy: 0.8422
2025-03-16 22:14:13,572 - Epoch 24: Training Loss: 0.3870, Training Accuracy: 0.8733
2025-03-16 22:14:13,572 - Epoch 24: Validation Loss: 0.4985, Validation Accuracy: 0.8488
2025-03-16 22:14:13,573 - Fold 2/5
2025-03-16 22:14:42,619 - Epoch 1: Training Loss: 1.2135, Training Accuracy: 0.5000
2025-03-16 22:14:42,620 - Epoch 1: Validation Loss: 0.9577, Validation Accuracy: 0.5979
2025-03-16 22:14:42,620 - Fold 3/5
2025-03-16 22:15:07,668 - Epoch 1: Training Loss: 1.1882, Training Accuracy: 0.5047
2025-03-16 22:15:07,669 - Epoch 1: Validation Loss: 1.0173, Validation Accuracy: 0.5906
2025-03-16 22:15:07,669 - Fold 4/5
2025-03-16 22:15:32,114 - Epoch 1: Training Loss: 1.1216, Training Accuracy: 0.5277
2025-03-16 22:15:32,114 - Epoch 1: Validation Loss: 0.9037, Validation Accuracy: 0.6534
2025-03-16 22:15:32,114 - Fold 5/5
2025-03-16 22:15:55,961 - Epoch 1: Training Loss: 1.1477, Training Accuracy: 0.5379
2025-03-16 22:15:55,961 - Epoch 1: Validation Loss: 0.9223, Validation Accuracy: 0.6625
2025-03-16 22:15:55,961 - Average Validation Loss: 0.8599, Average Validation Accuracy: 0.6706
